BAS_LOC_RM,Ablabesmyia mallochi,Ablabesmyia rhamphe,Ablabesmyia simpsoni,Ablabesmyia sp.,Acentrella sp.,Acerpenna macdunnoughi,Acerpenna pygmaea,Acerpenna sp.,Acricotopus sp.,Aeshna sp.,Agabus sp.,Amnicola sp.,Amphinemura sp.,Anacaena sp.,Anax sp.,Anchytarsus bicolor,Ancyronyx sp.,Ancyronyx variegatus,Anopheles sp.,Antocha sp.,Apsectrotanypus johnsoni,Argia sp.,Atherix sp.,Atrichopogon sp.,Attenella sp.,Aulodrilus pigueti,Aulodrilus piqueti,Aulodrilus pluriseta,Baetis flavistriga,Baetis intercalaris,Baetis pluto,Baetis sp.,Baetis tricaudatus,Basiaeschna sp.,Belostoma sp.,Berosus sp.,Bezzia sp.,Boyeria sp.,Boyeria vinosa,Brachycentrus appalachia,Brachycentrus incanus,Brachycercus sp.,Brillia flavifrons,Brillia parva,Brillia sp.,Caecidotea nr. racovitzai,Caecidotea racovitzai,Caecidotea sp.,Caenis sp.,Callibaetis sp.,Calopteryx sp.,Cambarus sp.,Campeloma decisum,Cardiocladius obscurus,Celina sp.,Centroptilum sp.,Ceratapsyche morosa,Ceratopsyche bronta,Ceratopsyche morosa,Ceratopsyche slossonae,Ceratopsyche sp.,Ceratopsyche sparna,Chauliodes sp.,Chelifera sp.,Cheumatopsyche sp.,Chimarra aterrima?,Chimarra obscura,Chironomus decorus gr.,Chironomus sp.,Chrysops sp.,Cladopelma sp.,Cladotanytarsus daviesi,Cladotanytarsus sp.,Cladotanytarsus sp. 2,Cladotanytarsus sp. 4,Clinotanypus sp.,Cloeon sp.,Coelotanypus sp.,Conchapelopia sp.,Cordulegaster sp.,Corynoneura sp.,Crangonyx sp.,Cricotopus bicinctus,Cricotopus intersectus gr.,Cricotopus sp.,Cricotopus sylvestris gr.,Cricotopus tremulus gr.,Cricotopus vierriensis,Cricotopus/Orthocladius complex,Cryptochironomus fulvus gr.,Cryptochironomus sp.,Cryptotendipes sp.,Culicoides? sp.,Cymbiodyta sp.,Dicranota sp.,Dicrotendipes modestus,Dicrotendipes neomodestus,Dicrotendipes simpsoni,Dicrotendipes sp.,Dictya sp.,Dineutus sp.,Diphetor hageni,Dixella sp.,Donacia sp.,Dromogomphus sp.,Dubiraphia bivittata,Dubiraphia quadrinotata,Dubiraphia sp.,Dubiraphia vittata,Dugesia sp.,Dytiscus sp.,Echinogammarus ischnus,Ectopria sp.,Einfeldia natchitocheae,Enallagma sp.,Endochironomus nigricans,Endochironomus sp.,Endochironomus subtendens,Endotribelos sp.,"Enochrus sp,",Ephemera guttulata,Ephemera sp.,Ephemerella sp.,Eukiefferiella brevicalcar gr.,Eukiefferiella sp.,Eurylophella funeralis,Eurylophella sp.,Ferrissia sp.,Fossaria sp.,Gammarus fasciatus,Gammarus sp.,Gelastocoris sp.,Georyssus sp.,Glyptotendipes sp.,Goeldichironomus sp.,Gomphus sp.,Gyraulus parvus,Gyraulus sp.,Gyrinus sp.,Habrophlebia vibrans,Habrophlebiodes sp.,Hagenius sp.,Haliplus sp.,Harnischia sp.,Helichus sp.,Helicopsyche borealis,Helisoma anceps,Helisoma sp.,Helisoma trivolvis,Helobdella stagnalis,Hemerodromia sp.,Hesperocorixa sp.,Heterocloeon sp.,Heterotrissocladius sp.,Hexatoma sp.,Hyalella azteca,Hyalella sp.,Hydatophylax sp.,Hydraena sp.,Hydrobius sp.,Hydroporous sp.,Hydropsyche betteni,Hydropsyche sp.,Hydroptila nr. waubesiana,Hydroptila sp.,Ilybius sp.,Ischnura sp.,Isonychia sp.,Isoperla sp.,Krenopelopia sp.,Labrundinia sp.,Laccophilus sp.,Larsia sp.,Lauterborniella agrayloides,Laevapex fuscus,Lepidostoma sp.,Lestes sp.,Leucorrhinia sp.,Leucrocuta sp.,Leuctra sp.,Limnephilus sp.,Limnodrilus claparedeianus,Limnodrilus hoffmeisteri,Limnodrilus sp.,Limnophyes sp.,Limonia sp.,Lype diversa,Lype sp.,Maccaffertium modestum,Maccaffertium sp.,Maccaffertium vicarium,Macrobdella decora,Macronychus glabratus,Macronychus sp.,Meropelopia sp.,Merragata sp.,Mesovelia sp.,Microcylloepus pusillus,Micromenetus dilatatus,Micropsectra dives gr.,Micropsectra polita,Micropsectra sp.,Micropsectra/Tanytarsus Complex,Microtendipes pedellus gr.,Microtendipes rydalensis gr.,Microvelia sp.,Molanna sp.,Mystacides sepulchralis,Mystacides sp.,Nais sp.,Nanocladius sp.,Natarsia sp.,Nectopsyche sp.,Neoclypeodytes sp.,Neophylax sp.,Neoplasta sp.,Neoporus sp.,Neozavrelia sp.,Neureclipsis sp.,Nigronia serricornis,Nilotanypus sp.,Nilothauma babiyi,Nilothauma sp.,Notonecta sp.,Odontomesa fulva,Odontomesa sp.,Oecetis sp.,Oligostomis sp.,Omisus sp.,Ophidonais serpentina,Ophiogomphus sp.,Optioservus fastiditus,Optioservus sp.,Optioservus trivittatus,Orconectes rusticus,Orconectes sp.,Orthocladiinae sp. C,Orthocladius annectens,Orthocladius (Symposiocladius) lignicola,Orthocladius sp.,Oulimnius sp.,Oxyethira sp.,Pagastia orthogonia,Parachaetocladius sp.,Parachironomus potamogeton,Parachironomus sp.,Paracladopelma sp.,Paracladopelma undine,Parakiefferiella sp.,Paralauterborniella nigrohalteralis,Paralauterborniella sp.,Paraleptophlebia sp.,Paramerina sp.,Parametriocnemus sp.,Paraphaenocladius sp.,Parapoynx sp.,Paratanytarsus sp.,Paratendipes albimanus,Paratendipes sp.,Peltodytes sp.,Pentaneura sp.,Perlesta sp.,Phaenopsectra dyari?,Phaenopsectra flavipes,Phaenopsectra sp.,Phylocentropus sp.,Physella sp.,Pisidium sp.,Placobdella montifera,Platycentropus sp.,Plauditus sp.,Polycentropus sp.,Polypedilum aviceps,Polypedilum fallax gr.,Polypedilum flavum,Polypedilum halterale gr.,Polypedilum illinoense,Polypedilum laetum,Polypedilum scalaenum gr.,Polypedilum sp.,Polypedilum tritum,Potamyia sp.,Potthastia gaedii gr.,Potthastia longimana gr.,Pristinella sp.,Probezzia sp.,Procladius sp.,Procladius sublettei,Procloeon sp.,Prodiamesa olivacea,Prodiamesa sp.,Promoresia elegans,Promoresia tardella,Prostoma graecense,Psectrocladius sordidellus gr.,Psectrocladius sp.,Psectrotanypus dyari,Psectrotanypus sp.,Psephenus herricki,Pseudocentroptiloides sp.,Pseudochironomus sp.,Pseudocloeon sp.,Pseudolimnophila sp.,Pseudosuccinea columella,Psychoglypha sp.,Pteronarcys proteus,Quistadrilus multisetosus,Ranatra sp.,Rhagovelia sp.,Rheocricotopus sp.,Rheotanytarsus exiguus gr.,Rheotanytarsus pellucidus,Rheotanytarsus sp.,Rheumatobates sp.,Rhyacophila sp.,Saetheria sp.,Sialis sp.,Simulium decorum,Simulium sp.,Simulium vittatum,Siphloplecton sp.,Slavina appendiculata,Somatochlora sp.,Sphaerium sp.,Sphaerium striatinum,Spirosperma sp.,Stagnicola elodes,Stempellina sp.,Stempellinella sp.,Stenacron interpunctatum,Stenacron sp.,Stenelmis crenata,Stenelmis sp.,Stenochironomus sp.,Stenonema exiguum,Stenonema femoratum,Stenonema modestum,Stenonema pulchellum,Stenonema sp.,Stictochironomus sp.,Stylaria lacustris,Stylodrilus sp.,Stylogomphus sp.,Stylurus sp.,Sympetrum sp.,Synorthocladius sp.,Tabanus sp.,Taeniopteryx sp.,Tallaperla sp.,Tanypus sp.,Tanytarsus curticornis gr.,Tanytarsus glabrescens gr.,Tanytarsus guerlus gr.,Tanytarsus sp.,Tanytarsus sp. D,Tanytarsus sp. o,Tanytarsus sp. P,Thienemanniella sp.,Thienemanniella xena,Thienemannimyia gr. spp.,Thienemannimyia sp.,Tipula sp.,Triaenodes sp.,Tribelos jucundum,Tribelos sp.,Tribelos/Endochironomus/Phaenopsectra Co,Trichocorixa sp.,Tricorythodes sp.,Trissopelopia sp.,Tropisternus sp.,Tubifex tubifex,Tvetenia bavarica gr.,Tvetenia sp.,Tvetenia vitracies,Undet. Tubificidae w/ cap. setae,Undet. Tubificidae w/o cap. setae,Undetermined Aeschnidae,Undetermined Ancylidae,Undetermined Baetidae,Undetermined Belostomatidae,Undetermined Calopterygidae,Undetermined Cambaridae,Undetermined Ceratopogonidae,Undetermined Chironomidae,Undetermined Chironominae,Undetermined Chrysomelidae,Undetermined Coenagrionidae,Undetermined Coleoptera,Undetermined Corbiculidae,Undetermined Corixidae,Undetermined Corydalidae,Undetermined Crangonyctidae,Undetermined Crysomelidae,Undetermined Culicidae,Undetermined Curculionidae,Undetermined Diptera,Undetermined Dixidae,Undetermined Dytiscidae,Undetermined Elmidae,Undetermined Enchytraeidae,Undetermined Ephemerellidae,Undetermined Erpobdellidae,Undetermined Gastropoda,Undetermined Gerridae,Undetermined Glossiphoniidae,Undetermined Gomphidae,Undetermined Gyrinidae,Undetermined Haliplidae,Undetermined Hebridae,Undetermined Hemiptera,Undetermined Hirudinea,Undetermined Hydrobiidae,Undetermined Hydrophilidae,Undetermined Hydropsychidae,Undetermined Hydroptilidae,Undetermined Lepidoptera,Undetermined Leptoceridae,Undetermined Leptophlebiidae,Undetermined Leuctridae,Undetermined Libellulidae,Undetermined Limnephilidae,Undetermined Lumbricina,Undetermined Lumbriculidae,Undetermined Lymnaeidae,Undetermined Muscidae,Undetermined Naididae,Undetermined Naucoridae,Undetermined Nemertea,Undetermined Notonectidae,Undetermined Orthocladiinae,Undetermined Phoridae,Undetermined Phryganeidae,Undetermined Physidae,Undetermined Pisidiidae,Undetermined Planorbidae,Undetermined Pleidae,Undetermined Pleuroceridae,Undetermined Polycentropodidae,Undetermined Saldidae,Undetermined Scirtidae,Undetermined Simuliidae,Undetermined Sphaeriidae,Undetermined Tabanidae,Undetermined Tanypodinae,Undetermined Tanytarsini,Undetermined Tipulidae,Undetermined Turbellaria,Undetermined Valvatidae,Undetermined Veliidae,Valvata lewisi,Valvata sincera,Valvata tricarinata,Viviparus georgianus,Xenochironomus xenolabis,Xylotopus par,Xylotopus sp.,Zavrelia sp.,Zavreliella sp.,Zavrelimyia sp.
17-GREN-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,25,,,1,4,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,17,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,25,,,,,,,,,,,,8,,,,,,,,,,,,6,,2,,,,,,,,,,
17-MASS-1.2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,1,,6,,,,,,,3,,11,,,,,,,,,,,,8,,,,,,,,,,,,
15-MAWA-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,5,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,4,,,,,1,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,1,1,,,,,2,,,2,,,,,,,,,,,,,,,,
17-MBUR-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,47,93,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-MILC-6.3,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,10,,,,,,,2,,,,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,3,,,,2,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,15,,,,4,,,,,,,,,,,,,2,,,,,,,,,,25,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,5,1,,,1,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,4,5,1,,,3,,,,,,2,,,,,,,,,5,,,,,1,,,,3,,1,2,,,,1,,8,1,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,1,,10,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,17,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
17-MUDL-1.4,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,28,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,27,2,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,2,,,,,,8,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
17-NISS_E-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,46,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-NISS-4.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,4,,,2,,1,,,,,,,,,,,,,,,,33,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,87,,,,,16,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,3,,,,,,,1,,11,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
17-PECN-8.9,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,29,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,
17-SAMP-2.1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,17,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,91,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,17,,,,,,,,1,9,,,,,,,,,13,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,7,,,,,,,,,31,26,,,,,,,,,,,,,,2,,10,,,,,,,,4,,,,,,,,,,,14,,,,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-TERR-0.2,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,17,,,14,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,1,,,,2,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
10-URIL-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,19,,,,,,,,,,,,,,,,13,,3,3,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,2,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,13,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,10,,,,,,,,,,,,,,34,,,,,,13,,,,,,,,,,,,,,,,9,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,
06-NING-7.7,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,10,7,,,,,,,1,10,,,,,,7,4,,11,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,11,,,,,,15,,,3,,,,,,,,,,1,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,21,7,1,,13,2,,,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,4,,,,,,,,,,,,,,,,
03-SAND_T21-4.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,,,,3,,,,,1,,3,,3,,,,1,,,,,,,,,,,,14,,,,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,,18,,,,,,,1,,5,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,7,,,,,4,9,,,,,,,,2,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-BARE_T5-0.5,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,2,,,2,,39,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,15,,16,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,13,,,11,,8,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,1,,,,31,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,2,5,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,3,
09-ENGL-17.6,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,16,,11,,,,,,,,,,,,2,,2,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,13,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,,,,,,3,,,,,75,,,,,,,,,,3,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10-NSAR_T7-0.8,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,1,,,,,,,,,,9,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,3,,,,,,,,4,,12,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,6,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,
